Employee_ID,Specific_Skills,Hourly_Cost,Max_Hours
E001,Go:3|PyTest:3,123,2080
E002,Node.js:3|Python:1|C#:3|PyTest:3,183,2080
E003,Terraform:1,42,2080
E004,Kubernetes:1|AWS:2|PyTest:1,90,2080
E005,Cypress:2|PyTest:1|Selenium:3,119,2080
E006,Pandas:1|Spark:1|Vue.js:1,76,2080
E007,Cypress:1|PyTest:3,89,2080
E008,Java:2|C#:3|Python:3,153,2080
E009,Vue.js:2|React:2|TypeScript:2,116,2080
E010,Vue.js:3|React:2|Angular:1,119,2080
E011,Vue.js:2,64,2080
E012,Docker:1|AWS:1,56,2080
E013,Angular:2|Vue.js:2|TypeScript:3,137,2080
E014,SQL:3|Spark:3,119,2080
E015,Cypress:2,55,2080
E016,Selenium:2|Cypress:3|PyTest:3,154,2080
E017,Vue.js:3,78,2080
E018,Go:1|Node.js:1|Python:1|Kubernetes:3,116,2080
E019,Node.js:1|Python:3|Go:2,123,2080
E020,TypeScript:3|React:3,118,2080
E021,Cypress:2|Selenium:1,73,2080
E022,Vue.js:1|Selenium:1,65,2080
E023,Python:2,56,2080
E024,Spark:1,48,2080
E025,TypeScript:1|React:1|Angular:1,80,2080
